,crn,href,section_name
0,41158,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/41158.xml,AD0
1,33931,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33931.xml,AD1
2,33932,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33932.xml,AD2
3,33933,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33933.xml,AD3
4,33934,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33934.xml,AD4
5,33935,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33935.xml,AD5
6,33936,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33936.xml,AD6
7,33937,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33937.xml,AD7
8,33938,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33938.xml,AD8
9,33940,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY/201/33940.xml,AL1
