,crn,href,section_name
0,60647,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60647.xml,A  
1,60648,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60648.xml,B  
2,60649,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60649.xml,C  
3,60650,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60650.xml,D  
4,60651,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60651.xml,E  
5,60652,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60652.xml,F  
6,60653,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60653.xml,G  
7,60654,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60654.xml,H  
8,60663,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60663.xml,I  
9,60656,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60656.xml,J  
10,60657,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/60657.xml,K  
11,67514,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/67514.xml,N  
12,67516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/67516.xml,O  
13,69177,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112/69177.xml,P  
