,crn,href,section_name
0,68671,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/68671.xml,1MA
1,70057,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/70057.xml,A2 
2,69358,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/69358.xml,ETA
3,59447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/59447.xml,GR1
4,66148,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/66148.xml,INT
5,62533,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/62533.xml,MCF
6,47517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/47517.xml,PHD
7,69623,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/69623.xml,QI2
8,65773,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/65773.xml,SL2
9,70065,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN/580/70065.xml,ZT1
