,crn,href,section_name
0,74996,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/74996.xml,ASH
1,74893,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/74893.xml,DBU
2,77359,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/77359.xml,DHP
3,75999,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/75999.xml,JAI
4,76141,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/76141.xml,JCR
5,75015,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/75015.xml,JVA
6,77548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/77548.xml,JVB
7,75016,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/75016.xml,RPG
8,74997,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/74997.xml,U2D
9,74968,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390/74968.xml,WGP
