,crn,href,section_name
0,76541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76541.xml,A1 
1,76542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76542.xml,B1 
2,76544,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76544.xml,B2 
3,76547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76547.xml,B3 
4,76548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76548.xml,B4 
5,77432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/77432.xml,B5 
6,77433,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/77433.xml,B6 
7,76550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76550.xml,C1 
8,76551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76551.xml,C2 
9,77434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/77434.xml,C3 
10,76554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76554.xml,D1 
11,76555,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76555.xml,D2 
12,76557,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76557.xml,D3 
13,76559,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100/76559.xml,D4 
