,crn,href,section_name
0,43445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/43445.xml,AA1
1,48175,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/48175.xml,AA2
2,34564,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34564.xml,AD1
3,34583,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34583.xml,AD2
4,77308,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/77308.xml,AD5
5,63885,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/63885.xml,AD9
6,34566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34566.xml,ADA
7,34568,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34568.xml,ADB
8,34569,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34569.xml,ADC
9,34572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34572.xml,ADD
10,34574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34574.xml,ADE
11,34576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34576.xml,ADF
12,34577,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34577.xml,ADG
13,34607,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34607.xml,ADH
14,34590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34590.xml,ADI
15,34592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34592.xml,ADJ
16,48177,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/48177.xml,ADK
17,34598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34598.xml,ADL
18,34600,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34600.xml,ADM
19,34603,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34603.xml,ADO
20,34605,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34605.xml,ADP
21,34581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34581.xml,ADQ
22,34611,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34611.xml,ADR
23,34480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/34480.xml,AL1
24,50401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/50401.xml,AM1
25,57931,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150/57931.xml,AM2
