,crn,href,section_name
0,70644,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70644.xml,L1 
1,75732,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/75732.xml,L2 
2,70645,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70645.xml,Y01
3,70648,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70648.xml,Y02
4,70649,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70649.xml,Y03
5,70650,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70650.xml,Y04
6,70651,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70651.xml,Y05
7,70652,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70652.xml,Y06
8,70653,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70653.xml,Y07
9,70654,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70654.xml,Y08
10,70656,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70656.xml,Y09
11,70646,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70646.xml,Y10
12,70647,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70647.xml,Y11
13,70655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/70655.xml,Y12
14,74108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74108.xml,Y13
15,74109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74109.xml,Y14
16,74110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74110.xml,Y15
17,74111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74111.xml,Y16
18,74112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74112.xml,Y17
19,74113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74113.xml,Y18
20,74114,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74114.xml,Y19
21,74115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/74115.xml,Y20
22,76951,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76951.xml,Y21
23,76954,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76954.xml,Y22
24,76957,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76957.xml,Y23
25,76960,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76960.xml,Y24
26,76963,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76963.xml,Y25
27,76966,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76966.xml,Y26
28,76969,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76969.xml,Y27
29,76972,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107/76972.xml,Y28
