,crn,href,section_name
0,67088,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67088.xml,SAA
1,67089,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67089.xml,SAB
2,67090,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67090.xml,SAC
3,67091,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67091.xml,SAD
4,67092,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67092.xml,SAE
5,67093,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67093.xml,SAF
6,67094,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67094.xml,SAG
7,67095,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67095.xml,SAH
8,67096,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67096.xml,SAI
9,67097,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67097.xml,SAJ
10,67098,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67098.xml,SAK
11,67099,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67099.xml,SAL
12,67100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67100.xml,SAM
13,67101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67101.xml,SAN
14,67102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67102.xml,SAO
15,67103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67103.xml,SAP
16,67104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67104.xml,SAQ
17,67105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67105.xml,SAR
18,67106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67106.xml,SAS
19,67107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67107.xml,SAT
20,67108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67108.xml,SAU
21,67109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67109.xml,SAV
22,67110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67110.xml,SAW
23,67111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67111.xml,SAX
24,67112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67112.xml,SAY
25,67113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAS/292/67113.xml,SAZ
