,crn,href,section_name
0,57996,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/57996.xml,A  
1,58326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58326.xml,AA 
2,57880,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/57880.xml,AB 
3,76093,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/76093.xml,AG 
4,66129,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/66129.xml,AL 
5,62996,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/62996.xml,AMA
6,58050,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58050.xml,AR 
7,58160,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58160.xml,AS 
8,35985,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35985.xml,B  
9,35986,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35986.xml,C  
10,58156,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58156.xml,CM 
11,35988,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35988.xml,D  
12,35989,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35989.xml,E  
13,64547,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/64547.xml,EJ 
14,77589,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/77589.xml,EK 
15,77539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/77539.xml,FJ 
16,62770,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/62770.xml,GM 
17,66229,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/66229.xml,HA 
18,58159,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58159.xml,HH 
19,77495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/77495.xml,JF 
20,35983,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35983.xml,JM 
21,66250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/66250.xml,JS 
22,77524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/77524.xml,JW 
23,45074,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/45074.xml,KS 
24,57882,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/57882.xml,LA 
25,64595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/64595.xml,LS 
26,58161,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58161.xml,LW 
27,58318,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58318.xml,MF 
28,61410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/61410.xml,MM 
29,35991,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35991.xml,NS 
30,49838,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/49838.xml,PK 
31,39973,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/39973.xml,RA 
32,64542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/64542.xml,RB 
33,49186,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/49186.xml,RK 
34,47188,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/47188.xml,RL 
35,58158,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58158.xml,RS 
36,58090,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58090.xml,SA 
37,35990,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/35990.xml,SG 
38,57919,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/57919.xml,SM 
39,58157,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/58157.xml,ST 
40,61409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/61409.xml,VW 
41,57881,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LAW/696/57881.xml,YC 
