,crn,href,section_name
0,57016,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57016.xml,A  
1,57018,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57018.xml,B  
2,57019,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57019.xml,C  
3,57020,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57020.xml,D  
4,57021,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57021.xml,E  
5,57022,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57022.xml,F  
6,57024,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57024.xml,G  
7,57025,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/57025.xml,H  
8,68839,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/68839.xml,I  
9,63475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/63475.xml,J  
10,68838,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/68838.xml,M  
11,68884,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101/68884.xml,P  
