,crn,href,section_name
0,55464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55464.xml,A  
1,55465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55465.xml,B  
2,55466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55466.xml,C  
3,55467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55467.xml,D  
4,55468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55468.xml,E  
5,55469,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55469.xml,F  
6,55470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55470.xml,G  
7,55472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55472.xml,H  
8,55473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55473.xml,I  
9,55474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/55474.xml,J  
10,57136,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57136.xml,M  
11,57137,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57137.xml,N  
12,57138,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57138.xml,O  
13,57139,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57139.xml,P  
14,57140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57140.xml,Q  
15,57141,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57141.xml,R  
16,57142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57142.xml,S  
17,57143,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB/247/57143.xml,T  
