,crn,href,section_name
0,63246,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63246.xml,AB1
1,63247,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63247.xml,AB2
2,63250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63250.xml,AB3
3,63251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63251.xml,AB4
4,63252,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63252.xml,AB5
5,63254,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63254.xml,AB6
6,63255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63255.xml,AB7
7,63256,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63256.xml,AB8
8,63257,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63257.xml,AB9
9,63258,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63258.xml,ABA
10,63259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63259.xml,ABB
11,63243,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME/270/63243.xml,AL1
