,crn,href,section_name
0,72868,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72868.xml,ECM
1,72867,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72867.xml,S01
2,73891,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73891.xml,S02
3,72869,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72869.xml,S03
4,72870,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72870.xml,S04
5,72871,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72871.xml,S05
6,72872,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72872.xml,S06
7,75352,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/75352.xml,S07
8,72874,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72874.xml,S08
9,73896,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73896.xml,S09
10,73892,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73892.xml,S10
11,73893,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73893.xml,S11
12,73894,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73894.xml,S12
13,72875,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72875.xml,W01
14,72876,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72876.xml,W02
15,72877,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72877.xml,W03
16,73658,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73658.xml,W04
17,73662,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73662.xml,W05
18,73666,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73666.xml,W06
19,73852,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73852.xml,W07
20,72873,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72873.xml,W08
21,72865,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/72865.xml,W09
22,73895,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC/450/73895.xml,W10
