,crn,href,section_name
0,54912,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54912.xml,A&P
1,54898,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54898.xml,BN 
2,54900,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54900.xml,CC 
3,54896,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54896.xml,CN 
4,54902,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54902.xml,COG
5,54904,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54904.xml,DEV
6,68144,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/68144.xml,DPC
7,68424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/68424.xml,ES 
8,64411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/64411.xml,IN2
9,54906,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54906.xml,IO 
10,61068,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/61068.xml,JH 
11,57828,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/57828.xml,LC 
12,57827,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/57827.xml,PJC
13,57207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/57207.xml,QJC
14,54908,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54908.xml,QUA
15,59445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/59445.xml,SJC
16,54910,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR/598/54910.xml,SPO
