,crn,href,section_name
0,68751,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68751.xml,A1 
1,68752,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68752.xml,A2 
2,68754,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68754.xml,B0 
3,68755,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68755.xml,B1 
4,68756,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68756.xml,B2 
5,68759,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68759.xml,C0 
6,68760,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68760.xml,C1 
7,68761,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68761.xml,C2 
8,68762,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68762.xml,D0 
9,68763,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68763.xml,D1 
10,68764,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68764.xml,D2 
11,68765,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68765.xml,E0 
12,68766,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68766.xml,E1 
13,68772,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68772.xml,F0 
14,68773,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68773.xml,F1 
15,68775,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68775.xml,F2 
16,68770,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68770.xml,G0 
17,68771,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68771.xml,G1 
18,68781,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68781.xml,H0 
19,68782,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68782.xml,H1 
20,68783,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68783.xml,H2 
21,68758,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68758.xml,I  
22,68777,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68777.xml,I1 
23,68757,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68757.xml,I2 
24,68778,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68778.xml,M0 
25,68779,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68779.xml,M1 
26,68780,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/68780.xml,M2 
27,74012,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR/591/74012.xml,PM1
