,crn,href,section_name
0,37947,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37947.xml,ADA
1,37951,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37951.xml,ADB
2,37955,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37955.xml,ADC
3,37959,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37959.xml,ADD
4,37964,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37964.xml,ADE
5,37969,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37969.xml,ADF
6,37977,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37977.xml,ADH
7,37982,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37982.xml,ADI
8,37992,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37992.xml,ADJ
9,37987,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37987.xml,ADK
10,39147,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/39147.xml,ADL
11,39149,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/39149.xml,ADM
12,51722,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/51722.xml,ADN
13,53443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/53443.xml,ADP
14,53445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/53445.xml,ADQ
15,53447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/53447.xml,ADR
16,68878,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/68878.xml,ADS
17,73674,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/73674.xml,ADU
18,37998,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL/110/37998.xml,AL1
