,crn,href,section_name
0,38029,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38029.xml,A1 
1,38032,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38032.xml,A2 
2,52875,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/52875.xml,A3 
3,38057,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38057.xml,D3A
4,38104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38104.xml,D3B
5,38059,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38059.xml,D3E
6,58662,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/58662.xml,D3F
7,57937,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/57937.xml,D3J
8,38062,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38062.xml,D3K
9,57913,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/57913.xml,D3M
10,38065,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38065.xml,D3N
11,38067,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38067.xml,D3R
12,57964,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/57964.xml,D3S
13,46838,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/46838.xml,D4A
14,53106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/53106.xml,D4B
15,38048,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38048.xml,D4E
16,38077,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38077.xml,D4F
17,56941,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/56941.xml,D4J
18,38070,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38070.xml,D4K
19,38086,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38086.xml,D4M
20,61748,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/61748.xml,D4N
21,51210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/51210.xml,D4R
22,51214,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/51214.xml,D4S
23,38088,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38088.xml,D5A
24,38095,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38095.xml,D5B
25,38094,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38094.xml,D5E
26,38096,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38096.xml,D5F
27,38074,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38074.xml,D5J
28,72229,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/72229.xml,D5K
29,53107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/53107.xml,D5M
30,72234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/72234.xml,D5N
31,38035,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38035.xml,L2A
32,38103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38103.xml,L2E
33,38106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38106.xml,L2J
34,56035,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/56035.xml,L2M
35,38107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38107.xml,L2R
36,38108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38108.xml,L3A
37,38109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38109.xml,L3E
38,38111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38111.xml,L3J
39,38115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38115.xml,L3M
40,51234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/51234.xml,L3R
41,38112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38112.xml,L4A
42,38113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38113.xml,L4E
43,38105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/38105.xml,L4J
44,57912,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/57912.xml,L4M
45,57963,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/57963.xml,L4R
46,58985,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/58985.xml,L5A
47,58987,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/58987.xml,L5E
48,58988,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/58988.xml,L5J
49,58978,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS/212/58978.xml,L5M
