,crn,href,section_name
0,66749,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66749.xml,ADA
1,66750,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66750.xml,ADB
2,66751,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66751.xml,ADC
3,66752,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66752.xml,ADD
4,66753,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66753.xml,ADE
5,66754,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66754.xml,ADF
6,66756,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66756.xml,ADH
7,66757,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66757.xml,ADI
8,66758,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66758.xml,ADJ
9,66759,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66759.xml,ADK
10,66760,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66760.xml,ADL
11,66762,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66762.xml,ADM
12,66769,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66769.xml,ADN
13,66775,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66775.xml,ADP
14,66776,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66776.xml,ADQ
15,66777,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66777.xml,ADR
16,68875,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/68875.xml,ADS
17,73673,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/73673.xml,ADU
18,66741,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL/110/66741.xml,AL1
