,crn,href,section_name
0,32913,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32913.xml,A1 
1,33382,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33382.xml,A2 
2,58798,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/58798.xml,A3 
3,32923,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32923.xml,B1 
4,33423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33423.xml,B10
5,43466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43466.xml,B2 
6,39340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39340.xml,B3 
7,32918,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32918.xml,B4 
8,43441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43441.xml,B5 
9,33386,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33386.xml,B6 
10,51853,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/51853.xml,B7 
11,33383,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33383.xml,B8 
12,71975,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/71975.xml,B9 
13,32932,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32932.xml,C1 
14,70958,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/70958.xml,C10
15,32948,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32948.xml,C2 
16,32951,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32951.xml,C3 
17,39345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39345.xml,C4 
18,33416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33416.xml,C5 
19,51855,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/51855.xml,C6 
20,51854,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/51854.xml,C7 
21,70956,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/70956.xml,C8 
22,33379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33379.xml,C9 
23,33266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33266.xml,D1 
24,70957,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/70957.xml,D10
25,33268,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33268.xml,D2 
26,33269,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33269.xml,D3 
27,33271,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33271.xml,D4 
28,33272,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33272.xml,D5 
29,33436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33436.xml,D6 
30,39342,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39342.xml,D7 
31,32920,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32920.xml,D8 
32,51856,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/51856.xml,D9 
33,33287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33287.xml,E1 
34,33291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33291.xml,E2 
35,33297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33297.xml,E3 
36,33438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33438.xml,E4 
37,43461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43461.xml,E5 
38,33425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33425.xml,E6 
39,58796,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/58796.xml,E7 
40,33337,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33337.xml,F1 
41,33335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33335.xml,F2 
42,33338,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33338.xml,F3 
43,33374,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33374.xml,F4 
44,39344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39344.xml,F5 
45,70289,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/70289.xml,F7 
46,33375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33375.xml,G1 
47,33376,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33376.xml,G2 
48,39346,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39346.xml,G3 
49,33414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33414.xml,G4 
50,53930,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/53930.xml,G5 
51,33280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33280.xml,GC 
52,33300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33300.xml,H1 
53,33377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33377.xml,H2 
54,32928,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32928.xml,L1 
55,43482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43482.xml,L2 
56,33384,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33384.xml,M1 
57,33385,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33385.xml,M2 
58,33387,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33387.xml,M3 
59,46079,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/46079.xml,M4 
60,32921,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32921.xml,M5 
61,33434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33434.xml,M6 
62,32926,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32926.xml,M7 
63,73684,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/73684.xml,M8 
64,33390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33390.xml,P1 
65,33392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33392.xml,P2 
66,33393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33393.xml,P3 
67,33398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33398.xml,P4 
68,33395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33395.xml,P5 
69,33429,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33429.xml,P6 
70,32930,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32930.xml,P7 
71,43000,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43000.xml,P8 
72,33400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33400.xml,Q1 
73,33402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33402.xml,Q2 
74,33404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33404.xml,Q3 
75,39348,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39348.xml,Q4 
76,39349,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39349.xml,Q5 
77,33433,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33433.xml,Q6 
78,43465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43465.xml,Q7 
79,33406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33406.xml,S1 
80,33408,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33408.xml,S2 
81,33411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33411.xml,S3 
82,33413,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33413.xml,S4 
83,46080,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/46080.xml,S5 
84,32916,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/32916.xml,S6 
85,73474,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/73474.xml,S7 
86,33427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33427.xml,T1 
87,43439,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/43439.xml,T2 
88,39343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39343.xml,T3 
89,51983,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/51983.xml,T4 
90,33419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33419.xml,T5 
91,33381,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33381.xml,T6 
92,33431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/33431.xml,U1 
93,39347,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET/105/39347.xml,V1 
