,crn,href,section_name
0,34271,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34271.xml,ADA
1,34272,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34272.xml,ADB
2,34276,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34276.xml,ADC
3,34278,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34278.xml,ADD
4,34280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34280.xml,ADE
5,34281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34281.xml,ADF
6,34283,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34283.xml,ADG
7,34287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34287.xml,ADI
8,34288,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34288.xml,ADJ
9,34291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34291.xml,ADK
10,34292,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34292.xml,ADL
11,34294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34294.xml,ADM
12,34300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34300.xml,ADP
13,34307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34307.xml,ADS
14,34311,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34311.xml,ADV
15,44365,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/44365.xml,ADY
16,34312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/34312.xml,AL1
17,60802,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/60802.xml,AL2
18,55625,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC/100/55625.xml,ONL
