,crn,href,section_name
0,64811,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64811.xml,B1 
1,64810,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64810.xml,B2 
2,64812,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64812.xml,C1 
3,64813,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64813.xml,C2 
4,64814,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64814.xml,C3 
5,64815,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64815.xml,C4 
6,64816,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64816.xml,D1 
7,64817,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64817.xml,D2 
8,64818,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64818.xml,D3 
9,64819,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64819.xml,D4 
10,64820,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64820.xml,D5 
11,64821,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64821.xml,E1 
12,64822,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64822.xml,E2 
13,64823,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64823.xml,E3 
14,64824,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64824.xml,E4 
15,64825,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64825.xml,F1 
16,64826,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64826.xml,F2 
17,64830,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN/130/64830.xml,X1 
