,crn,href,section_name
0,36129,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36129.xml,UD1
1,36130,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36130.xml,UD2
2,36131,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36131.xml,UD3
3,36132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36132.xml,UD4
4,60238,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/60238.xml,UD5
5,60241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/60241.xml,UD6
6,60243,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/60243.xml,UD7
7,61076,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/61076.xml,UD8
8,36134,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36134.xml,UL1
9,60237,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/60237.xml,UL2
10,36135,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36135.xml,YD1
11,36136,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36136.xml,YD2
12,36137,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36137.xml,YD3
13,48336,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/48336.xml,YD4
14,43007,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/43007.xml,YD5
15,63541,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/63541.xml,YD6
16,63543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/63543.xml,YD7
17,63545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/63545.xml,YD8
18,36133,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36133.xml,YL1
19,36138,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT/400/36138.xml,YL2
