,crn,href,section_name
0,36206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36206.xml,AD2
1,36207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36207.xml,AD3
2,36208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36208.xml,AD4
3,36209,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36209.xml,AD5
4,36210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36210.xml,AD6
5,36211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36211.xml,AD7
6,38775,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/38775.xml,AD8
7,58234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/58234.xml,AD9
8,63234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/63234.xml,ADA
9,63235,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/63235.xml,ADB
10,36212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM/210/36212.xml,AE1
