,crn,href,section_name
0,73192,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73192.xml,ACD
1,77443,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/77443.xml,AET
2,70788,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/70788.xml,AHE
3,70785,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/70785.xml,ALD
4,72977,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/72977.xml,B  
5,73959,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73959.xml,CR 
6,77487,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/77487.xml,CSR
7,73191,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73191.xml,CT 
8,75416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/75416.xml,DFT
9,75415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/75415.xml,HC 
10,70787,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/70787.xml,HE 
11,77488,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/77488.xml,HM 
12,70784,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/70784.xml,LD 
13,70786,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/70786.xml,P  
14,76027,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/76027.xml,PC 
15,72979,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/72979.xml,S  
16,73463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73463.xml,SC 
17,73462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73462.xml,SND
18,73188,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA/300/73188.xml,WS 
