,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/199.xml,Undergraduate Open Seminar
1,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/200.xml,Fundamentals of Accounting
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/201.xml,Accounting and Accountancy I
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/202.xml,Accounting and Accountancy II
4,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/290.xml,Prof Internship in Accountancy
5,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/301.xml,Atg Measurement & Disclosure
6,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/302.xml,Decision Making for Atg
7,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/303.xml,Accounting Institutions and Regulation
8,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/304.xml,Accounting Control Systems
9,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/312.xml,Principles of Taxation
10,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/321.xml,Principles of Public Policy
11,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/375.xml,Career Pathways in Accountancy
12,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/398.xml,Practical Problems in Atg
13,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/405.xml,Assurance and Attestation
14,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/410.xml,Advanced Financial Reporting
15,419,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/419.xml,Financial Accounting for Governmental and Nonprofit Entities
16,449,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/449.xml,Tax in Action - VITA
17,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/451.xml,Advanced Income Tax Problems
18,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/499.xml,Senior Research
19,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/500.xml,"Accounting Measurement, Reporting, and Control"
20,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/501.xml,Accounting Analysis I
21,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/502.xml,Accounting Analysis II
22,503,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/503.xml,Managerial Accounting
23,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/506.xml,Advanced Topics in Accounting
24,507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/507.xml,Taxation of Business Entities
25,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/510.xml,Financial Reporting Standards
26,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/512.xml,Data Analytics for Management Accounting
27,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/515.xml,Auditing & Assurance Standards
28,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/516.xml,Professional Responsibility and Ethics for Accountants
29,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/517.xml,Financial Statement Analysis and Valuation
30,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/518.xml,Financial Statement Fraud
31,519,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/519.xml,Governmental and Nonprofit Accounting
32,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/550.xml,Multistate Taxation
33,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/551.xml,Corporate Income Taxation
34,552,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/552.xml,Partnership Income Taxation
35,554,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/554.xml,International Taxation
36,570,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/570.xml,Data Analytics Foundations for Accountancy
37,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/571.xml,Statistical Analyses for Accountancy
38,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/574.xml,Risk Management and Innovation
39,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/575.xml,Data Analytics Applications in Accountancy
40,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/576.xml,Data Preparation for Accounting
41,577,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/577.xml,Machine Learning for Accounting
42,578,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/578.xml,Accounting Analytics Applications
43,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/590.xml,Adv Prof Internship in ACCY
44,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/593.xml,Special Research Problems
45,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/594.xml,Doctoral Research Seminar
46,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACCY/599.xml,Thesis Research
