,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/100.xml,Introduction to Applied Microeconomics
1,161,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/161.xml,Microcomputer Applications
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/199.xml,Undergraduate Open Seminar
3,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/210.xml,Environmental Economics
4,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/221.xml,Negotiation
5,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/231.xml,Food and Agribusiness Mgt
6,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/232.xml,Farm Management
7,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/240.xml,Personal Financial Planning
8,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/241.xml,Advanced Personal Finance
9,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/242.xml,"Women, Money, and Power"
10,262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/262.xml,Applied Statistical Methods and Data Analytics I
11,264,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/264.xml,Applied Statistical Methods & Data Analytics 2
12,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/270.xml,Consumer Economics
13,291,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/291.xml,Ag Policy & Leadership
14,293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/293.xml,Off-Campus Internship
15,294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/294.xml,On-Campus Internship
16,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/295.xml,Independent Study
17,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/300.xml,Intermediate Applied Microeconomics
18,306,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/306.xml,Food Law
19,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/310.xml,Natural Resource Economics
20,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/321.xml,Principles of Public Policy
21,344,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/344.xml,FinTech in Personal Finance and Financial Planning
22,345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/345.xml,Finan Decision Indiv Sm Bus
23,349,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/349.xml,Risk Management and Financial Planning Across the Life Cycle
24,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/360.xml,Spreadsheet Models and Applications
25,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/396.xml,Honors Research or Thesis
26,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/398.xml,Experiential Learning
27,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/403.xml,Agricultural Law
28,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/410.xml,Energy Economics
29,427,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/427.xml,Commodity Price Analysis
30,428,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/428.xml,Commodity Futures and Options
31,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/430.xml,Food Marketing
32,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/432.xml,Advanced Farm Management
33,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/435.xml,Global Agribusiness Management
34,436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/436.xml,International Business Immersion
35,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/440.xml,Finan Plan for Professionals
36,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/441.xml,FINRA Professional Exam Review
37,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/444.xml,Financial Services & Investing Planning
38,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ACE/446.xml,Modeling App's Finan Plan
