,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/101.xml,"Black America, 1619-Present"
1,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/122.xml,Russia and Black America
2,132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/132.xml,African American Music
3,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/201.xml,US Racial & Ethnic Politics
4,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/212.xml,Introduction to African American Theatre
5,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/215.xml,US Citizenship Comparatively
6,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/220.xml,Intro to Research Methods AfAm
7,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/221.xml,History of the Prison
8,228,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/228.xml,Hip Hop Music: History and Culture
9,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/259.xml,Early African American Literature and Culture
10,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/260.xml,Modern African American Literature and Culture
11,276,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/276.xml,African American History Since 1877
12,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/281.xml,Constructing Race in America
13,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/310.xml,Race and Cultural Diversity
14,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/340.xml,Dancing Black Popular Culture
15,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/411.xml,African American Psychology
16,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/415.xml,Africana Feminisms
17,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/421.xml,Racial and Ethnic Families
18,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/482.xml,Immersion Journalism
19,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/495.xml,Senior Thesis Seminar
20,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/498.xml,Spec Topics African Am Studies
21,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/595.xml,Directed Independent Readings
22,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/597.xml,Problems in African-Am Studies
23,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFRO/598.xml,Res Sem in African-Am Studies
