,number,href,name
0,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/199.xml,Undergraduate Open Seminar
1,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/210.xml,Introduction to Modern African Literature
2,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/222.xml,Introduction to Modern Africa
3,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/232.xml,Elementary Swahili II
4,233,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/233.xml,Context in International Interventions
5,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/242.xml,Elementary Wolof II
6,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/412.xml,Lang in African Culture & Soc
7,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/420.xml,Africana Feminisms
8,434,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/434.xml,Intermediate Swahili II
9,436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/436.xml,Advanced Swahili II
10,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/444.xml,Intermediate Wolof II
11,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/490.xml,Independent Study
12,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/515.xml,Practicum in African Studies
13,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/550.xml,Special Topics
14,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/AFST/599.xml,Thesis Research
