,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/100.xml,Intro to Animal Sciences
1,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/103.xml,Working With Farm Animals
2,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/110.xml,Life With Animals and Biotech
3,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/120.xml,The Art and Ethics of Animal Documentaries
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/199.xml,Undergraduate Open Seminar
5,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/201.xml,Principles of Dairy Production
6,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/205.xml,World Animal Resources
7,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/207.xml,The Science of Pets and How to Care for Them
8,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/210.xml,Grilling and BBQ Science
9,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/211.xml,Breeding Animal Evaluation
10,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/215.xml,Introduction to Animal Evaluation
11,223,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/223.xml,Animal Nutrition
12,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/224.xml,Animal Reproduction and Growth
13,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/250.xml,Companion Animals in Society
14,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/255.xml,Animal Ethics
15,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/298.xml,Animal Science Careers and Professional Development
16,306,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/306.xml,Equine Science
17,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/313.xml,Horse Appraisal
18,363,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/363.xml,Behavior of Domestic Animals
19,366,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/366.xml,Animal Behavior
20,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/398.xml,UG Experiential Learning
21,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/402.xml,Sheep and Goat Production
22,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/404.xml,Poultry Science
23,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/406.xml,Zoo Animal Conservation Sci
24,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/407.xml,Animal Shelter Management
25,409,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/409.xml,Meat Science
26,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/438.xml,Lactation Biology
27,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/440.xml,Applied Statistical Methods I
28,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/442.xml,Introduction to Data Analytics
29,446,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/446.xml,Population Genetics
30,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/450.xml,Comparative Immunobiology
31,464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/464.xml,Physiology of Animal Stress & Disease
32,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/480.xml,Introduction to Coding and Precision Management
33,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/498.xml,Integrating Animal Sciences
34,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/499.xml,Seminar
35,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/500.xml,Feeds in Dairy Nutrition and Diet Formulation
36,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/501.xml,Nutritional Impact on Cow Health and Disorders
37,520,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/520.xml,Protein and Energy Nutrition
38,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/521.xml,Regulation of Metabolism
39,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/525.xml,Topics in Nutrition Research
40,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/526.xml,Adv Companion Animal Nutrition
41,543,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/543.xml,Bioinformatics
42,580,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/580.xml,Artificial Intelligence and Computer Vision for Precision Management
43,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/590.xml,Animal Sciences Seminar
44,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/591.xml,Grad Bioinformatics Seminar
45,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/593.xml,Res Studies in Animal Sciences
46,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ANSC/599.xml,Thesis Research
