,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/101.xml,"Art, Design, and Society"
1,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/260.xml,Museums in Action
2,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/301.xml,"Curriculum, Assessment, and Art Education"
3,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/391.xml,Independent Study
4,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/393.xml,Teachers as Researchers
5,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/401.xml,Teaching Seminar
6,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/480.xml,Popular Visual Culture
7,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/501.xml,Issues in Art Education
8,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/505.xml,Foundations of Art Education
9,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/591.xml,Independent Graduate Studies
10,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTE/599.xml,Thesis Research
