,number,href,name
0,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/110.xml,Introduction to the History of Art and Visual Culture
1,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/211.xml,Design History Survey
2,219,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/219.xml,Islamic Gardens & Architecture
3,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/240.xml,Art of the Nineteenth Century
4,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/242.xml,Art Since 1940
5,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/299.xml,Spec Topics in Art History
6,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/320.xml,Sacred Sites in Japan
7,343,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/343.xml,Arts of Modern Latin America
8,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/391.xml,Individual Art History Topics
9,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/403.xml,Word and Image in Chinese Art
10,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/416.xml,The Archaeology of Italy
11,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/462.xml,Museum Theory and Practice
12,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/489.xml,Senior Art-History Honors-BA
13,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/490.xml,Senior Art-History Honors-BFA
14,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/491.xml,Topics in Art History
15,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/495.xml,Undergraduate Seminar in Art History
16,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/539.xml,Academies of Art
17,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/591.xml,Individual Readings
18,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARTH/599.xml,Thesis Research
