,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/100.xml,Introduction to Astronomy
1,121,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/121.xml,Solar System and Worlds Beyond
2,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/122.xml,Stars and Galaxies
3,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/150.xml,Killer Skies: Astro-Disasters
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/210.xml,Introduction to Astrophysics
5,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/310.xml,Computing in Astronomy
6,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/330.xml,Extraterrestrial Life
7,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/390.xml,Individual Study
8,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/401.xml,Scientific Writing for Astronomy
9,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/405.xml,Planetary Systems
10,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/406.xml,Galaxies and the Universe
11,414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/414.xml,Astronomical Techniques
12,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/490.xml,Senior Thesis
13,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/496.xml,Seminar in Astronomy
14,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/506.xml,Galaxies
15,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/510.xml,Computational Astrophysics
16,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/516.xml,General Relativity II
17,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/590.xml,Individual Study
18,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/593.xml,Astronomy Internship
19,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/596.xml,Seminar in Special Topics
20,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ASTR/599.xml,Thesis Research
