,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/100.xml,Introduction to Meteorology
1,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/120.xml,Severe and Hazardous Weather
2,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/140.xml,Climate and Global Change
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/199.xml,Undergraduate Open Seminar
4,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/201.xml,General Physical Meteorology
5,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/202.xml,General Physical Climate
6,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/207.xml,Weather and Climate Data Science
7,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/304.xml,Radiative Transfer-Remote Sens
8,306,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/306.xml,Cloud Physics
9,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/307.xml,Climate Processes
10,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/313.xml,Synoptic Weather Forecasting
11,314,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/314.xml,Mesoscale Dynamics
12,315,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/315.xml,Meteorological Instrumentation
13,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/322.xml,Soc Impacts Weather & Climate
14,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/402.xml,Applied Meteorology and Climate Services
15,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/420.xml,Atmospheric Chemistry
16,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/450.xml,Foundations of Academic Research and Creative Activity
17,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/490.xml,Individual Study
18,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/491.xml,Adv Topics in Atmospheric Sci
19,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/492.xml,Capstone Undergraduate Research
20,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/502.xml,Numerical Fluid Dynamics
21,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/505.xml,Weather Systems
22,507,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/507.xml,Climate Dynamics
23,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/512.xml,Clouds and Climate
24,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/517.xml,Data Science for the Geosciences
25,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/521.xml,"Climate Analysis, Variability, and Prediction"
26,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/526.xml,Risk Analysis in the Geosciences
27,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/590.xml,Individual Study
28,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/591.xml,Atmospheric Sciences Seminar
29,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/596.xml,Non-Thesis Research
30,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ATMS/599.xml,Thesis Research
