,number,href,name
0,602,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/602.xml,Public Health Clinical Applications
1,634,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/634.xml,Clinical Neuroscience
2,635,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/635.xml,Musculoskeletal and Integumentary System
3,636,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/636.xml,"Digestion, Nutrition, & Metabolism"
4,644,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/644.xml,Multisystem Conditions
5,645,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/645.xml,Synthesis & Summary
6,655,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/655.xml,Research Elective
7,660,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/660.xml,Self-Designed Study
8,666,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/666.xml,Academic Progress I (Longitudinal)
9,680,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/680.xml,"Innovation, Design, Engineering and Analysis Projects (Longitudinal)"
10,685,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/685.xml,Medicine - Capstone Project (Longitudinal)
11,686,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/686.xml,Medicine - Data Science Project (Longitudinal)
12,700,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/700.xml,Innovations in Problem Based Learning
13,701,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/701.xml,Introduction to Telemedicine
14,702,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/702.xml,Medical Spanish
15,703,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/703.xml,Medical Informatics
16,704,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/704.xml,Medicine in Literature
17,705,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/705.xml,Race in Medicine
18,706,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/706.xml,Literature Reviews in Pathology
19,707,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/707.xml,Interreligious Perspectives on Health and Medicine
20,708,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/708.xml,Social Medicine and the Normative Body
21,710,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/710.xml,Computational Genomics
22,711,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/711.xml,"Climate Change, Planetary Health and Sustainability"
23,720,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/720.xml,Advanced Anatomy
24,721,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/721.xml,Neurocardiology
25,730,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/730.xml,Introduction to Deep Learning on Healthcare Data
26,732,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/732.xml,Healthcare Process Management
27,733,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/733.xml,Introduction to Research
28,734,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/734.xml,Medical Chinese
29,735,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/735.xml,Leadership in PBL I
30,736,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/736.xml,Leadership in PBL II
31,737,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/737.xml,Exploring Anatomy through the Virtual Reality Lens
32,738,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/738.xml,Advanced Anatomy for Teaching
33,739,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/739.xml,Medical Device Product Development
34,740,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/740.xml,Artificial Intelligence in Medicine
35,741,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/741.xml,Gamified Learning in Broadly Defined Medical Education
36,743,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/743.xml,Introduction to Health Systems Science
37,744,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/744.xml,Simulation I
38,745,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/745.xml,Medical Ethics at the Beginning and End of Life
39,747,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/747.xml,Survey of Health Systems Science
40,748,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/748.xml,Residency-Ready: Writing A Review Paper on Medical Innovations in Your Chosen Specialty
41,749,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/749.xml,Comprehensive Immunology Course-Level 1
42,750,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BSE/750.xml,Clinical Pharmacology and Therapeutics
