,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/101.xml,Hidden World of Engineering
1,121,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/121.xml,CHBE Profession
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/199.xml,Undergraduate Open Seminar
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/202.xml,Cooperative Education Practice
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/210.xml,CHBE Internship
5,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/221.xml,Principles of CHE
6,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/297.xml,Individual Study Sophomores
7,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/321.xml,Thermodynamics
8,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/397.xml,Individual Study for Juniors
9,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/411.xml,Probability and Statistics for ChBE
10,421,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/421.xml,Momentum and Heat Transfer
11,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/422.xml,Mass Transfer Operations
12,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/424.xml,Chemical Reaction Engineering
13,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/430.xml,Unit Operations Laboratory
14,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/431.xml,Process Design
15,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/440.xml,Process Control and Dynamics
16,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/455.xml,Polymers Synthesis and Industrial Applications
17,475,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/475.xml,Tissue Engineering
18,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/481.xml,Chemical Process Safety
19,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/494.xml,Special Topics
20,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/497.xml,Individual Study for Seniors
21,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/499.xml,Senior Thesis
22,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/510.xml,Graduate CHBE Internship
23,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/513.xml,Advanced Transport Phenomena
24,523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/523.xml,Heat and Mass Transfer
25,565,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/565.xml,CHBE Seminar
26,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/571.xml,Bioinformatics
27,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/593.xml,Individual Study
28,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/594.xml,Special Topics
29,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/597.xml,Special Problems
30,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/598.xml,Research Seminar
31,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHBE/599.xml,Thesis Research
