,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/101.xml,Introductory Chemistry
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/102.xml,General Chemistry I
2,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/103.xml,General Chemistry Lab I
3,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/104.xml,General Chemistry II
4,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/105.xml,General Chemistry Lab II
5,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/108.xml,"Chemistry, Everyday Phenomena"
6,197,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/197.xml,Individual Study Freshman
7,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/199.xml,Undergraduate Open Seminar
8,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/204.xml,Accelerated Chemistry II
9,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/205.xml,Accelerated Chemistry Lab II
10,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/232.xml,Elementary Organic Chemistry I
11,233,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/233.xml,Elementary Organic Chem Lab I
12,236,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/236.xml,Fundamental Organic Chem I
13,237,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/237.xml,Structure and Synthesis
14,293,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/293.xml,Cooperative Education Practice
15,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/295.xml,Chemistry Internship
16,297,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/297.xml,Individual Study Sophomore
17,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/312.xml,Inorganic Chemistry
18,315,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/315.xml,Instrumental Chem Systems Lab
19,332,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/332.xml,Elementary Organic Chem II
20,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/360.xml,Chemistry of the Environment
21,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/397.xml,Individual Study Junior
22,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/420.xml,Instrumental Characterization
23,436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/436.xml,Fundamental Organic Chem II
24,437,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/437.xml,Organic Chemistry Lab
25,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/440.xml,Physical Chemistry Principles
26,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/442.xml,Physical Chemistry I
27,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/444.xml,Physical Chemistry II
28,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/445.xml,Physical Principles Lab I
29,447,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/447.xml,Physical Principles Lab II
30,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/472.xml,Physical Biochemistry
31,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/482.xml,Polymer Physics
32,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/483.xml,Solid State Structural Anlys
33,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/492.xml,Special Topics in Chemistry
34,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/494.xml,Lab Safety Fundamentals
35,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/497.xml,Individual Study Senior
36,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/499.xml,Senior Thesis
37,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/515.xml,Inorganic Chemistry Seminar
38,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/516.xml,Physical Inorganic Chemistry
39,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/518.xml,Topics in Inorganic Chemistry
40,524,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/524.xml,Electrochemical Methods
41,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/525.xml,Analytical Chemistry Seminar
42,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/535.xml,Organic Chemistry Seminar
43,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/542.xml,Quantum Mech and Spectroscopy
44,545,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/545.xml,Physical Chemistry Seminar
45,548,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/548.xml,Molecular Electronic Structure
46,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/572.xml,Enzyme Reaction Mechanisms
47,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/575.xml,Chemical Biology Seminar
48,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/576.xml,Computational Chemical Biology
49,585,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/585.xml,Materials Chemistry Seminar
50,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/588.xml,Physical Methods Mat Chem
51,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/590.xml,Special Topics in Chemistry
52,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/593.xml,Advanced Professional Development for Chemists
53,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/595.xml,Graduate Chemistry Internship
54,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CHEM/599.xml,Thesis Research
