,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/100.xml,Vocabulary Building from Greek and Latin Roots
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/102.xml,Medical Terms-GRK & LAT Roots
2,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/111.xml,Mythology of Greece and Rome
3,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/115.xml,Mythology of Greece and Rome
4,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/116.xml,Introduction to Ancient Roman Culture
5,132,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/132.xml,"Class Archaeology, Rome-Italy"
6,133,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/133.xml,Archaeology of Israel
7,160,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/160.xml,Ancient Greek & Roman Religion
8,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/199.xml,Undergraduate Open Seminar
9,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/203.xml,Ancient Philosophy
10,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/220.xml,Exploring the Greek and Roman World
11,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/221.xml,Odysseus and Other Heroes
12,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/224.xml,Greco-Roman Antiquity and US Minority Cultures
13,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/231.xml,Development of Ancient Cities
14,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/240.xml,Gender & Sexuality in Greco-Roman Antiquity
15,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/250.xml,Sports and Society in Greece and Rome
16,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/444.xml,The Archaeology of Italy
17,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CLCV/492.xml,Senior Thesis
