,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/101.xml,Public Speaking
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/102.xml,Introduction to Communication
2,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/112.xml,Oral & Written Comm II
3,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/204.xml,Internship in Teaching Comm
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/210.xml,Public Comm in Everyday Life
5,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/211.xml,Business and Professional Communication
6,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/212.xml,Intro to Organizational Comm
7,213,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/213.xml,Small Group Communication
8,214,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/214.xml,Organizational Communication & Diversity
9,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/215.xml,Interviewing: The Art and Science of Effective Questioning
10,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/220.xml,Communicating Public Policy
11,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/230.xml,Intro to Interpersonal Comm
12,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/232.xml,Intro to Intercultural Comm
13,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/250.xml,Social Movement Communication
14,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/260.xml,Intro to Health Communication
15,277,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/277.xml,Introduction to Mediated Communication
16,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/280.xml,Comm Technology & Society
17,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/304.xml,Communication Internship
18,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/321.xml,Strategies of Persuasion
19,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/323.xml,Argumentation
20,326,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/326.xml,Mass Media and the Audience
21,328,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/328.xml,Social Media and Politics
22,336,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/336.xml,Communicating in Families
23,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/340.xml,Visual Politics
24,345,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/345.xml,Visual Media Effects
25,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/361.xml,Storytelling as Oral Communication
26,368,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/368.xml,Sexual Communication
27,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/375.xml,Popular Media and Culture
28,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/390.xml,Individual Study
29,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/396.xml,Special Topics in Comm
30,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/410.xml,Workplace Comm Technology
31,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/432.xml,Gender Communication
32,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/435.xml,Building Interpersonal Skills
33,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/450.xml,Topics in Public Communication
34,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/462.xml,Health Communication in Relationships
35,467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/467.xml,Communication & Health Equity
36,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/491.xml,Honors Individual Study
37,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/493.xml,Honors Senior Thesis
38,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/505.xml,Provider-Patient Communication
39,508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/508.xml,Health Marketing
40,529,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/529.xml,Seminar Communication Theory
41,538,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/538.xml,Seminar Rhetorical Theory
42,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/575.xml,Capstone Individual Study
43,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/595.xml,Special Problems
44,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CMN/599.xml,Thesis Research
