,number,href,name
0,113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/113.xml,"Environment, Agriculture, and Society"
1,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/116.xml,The Global Food Production Web
2,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/117.xml,Agriculture and Science of Coffee
3,180,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/180.xml,Medicinal Plants and Herbology
4,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/241.xml,Intro to Applied Statistics
5,261,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/261.xml,Biotechnology in Agriculture
6,265,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/265.xml,Genetic Engineering Lab
7,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/304.xml,Plant Pathology
8,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/393.xml,Crop Sciences Internship
9,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/395.xml,Undergrad Research or Thesis
10,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/418.xml,Crop Growth and Management
11,436,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/436.xml,Conservation Biology
12,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/440.xml,Applied Statistical Methods I
13,453,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/453.xml,Principles of Plant Breeding
14,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/480.xml,Cannabis Classification and Management
15,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/481.xml,Principles and Practices of Cannabis Flower Production
16,484,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/484.xml,Plant Physiology
17,488,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/488.xml,Soil Fertility and Fertilizers
18,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/491.xml,Ugrad Bioinformatics Seminar
19,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/499.xml,Advanced Special Topics
20,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/505.xml,Research Methods in Crop Sciences
21,518,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/518.xml,Crop Growth and Development
22,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/527.xml,Weed Science and Management
23,540,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/540.xml,Applied Statistical Methods II
24,567,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/567.xml,Bioinformatics & Systems Biol
25,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/591.xml,Grad Bioinformatics Seminar
26,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/593.xml,Adv Studies in Crop Sciences
27,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/598.xml,Seminar
28,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CPSC/599.xml,Thesis Research
