,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/101.xml,Intro Computing: Engrg & Sci
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/102.xml,Little Bits to Big Ideas
2,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/105.xml,Intro Computing: Non-Tech
3,107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/107.xml,Data Science Discovery
4,124,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/124.xml,Introduction to Computer Science I
5,128,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/128.xml,Introduction to Computer Science II
6,173,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/173.xml,Discrete Structures
7,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/199.xml,Undergraduate Open Seminar in Computer Science
8,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/210.xml,Ethical & Professional Issues
9,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/211.xml,Ethical and Professional Conduct
10,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/222.xml,Software Design Lab
11,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/225.xml,Data Structures
12,233,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/233.xml,Computer Architecture
13,266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/266.xml,Community Innovation
14,277,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/277.xml,Algorithms and Data Structures for Data Science
15,307,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/307.xml,Modeling and Learning in Data Science
16,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/340.xml,Introduction to Computer Systems
17,341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/341.xml,System Programming
18,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/357.xml,Numerical Methods I
19,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/361.xml,Probability & Statistics for Computer Science
20,374,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/374.xml,Introduction to Algorithms & Models of Computation
21,397,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/397.xml,Individual Study
22,402,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/402.xml,Accelerated Fundamentals of Computing II
23,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/403.xml,Accelerated Fundamentals of Algorithms II
24,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/407.xml,Cryptography
25,410,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CS/410.xml,Text Information Systems
