,number,href,name
0,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/401.xml,Numerical Analysis
1,408,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/408.xml,Applied Parallel Programming
2,412,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/412.xml,Numerical Thermo-Fluid Mechs
3,414,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/414.xml,Algorithms
4,422,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/422.xml,Computer System Organization
5,423,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/423.xml,Operating Systems Design
6,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/426.xml,Software Engineering I
7,428,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/428.xml,Statistical Computing
8,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/440.xml,Statistical Data Management
9,441,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/441.xml,Introduction to Optimization
10,448,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/448.xml,Advanced Data Analysis
11,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/451.xml,Finite Element Analysis
12,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/461.xml,Computational Aerodynamics
13,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/498.xml,Special Topics
14,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/510.xml,Numerical Methods for PDEs
15,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/517.xml,Adv Finite Element Methods
16,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/521.xml,Computer Architecture
17,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/522.xml,Parallel Computer Architecture
18,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/525.xml,Topics in Computational Statistics
19,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/530.xml,Computational Electromagnetics
20,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/542.xml,Statistical Learning
21,551,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/551.xml,Finite Element Methods
22,553,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/553.xml,Computational Inelasticity
23,566,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/566.xml,Numerical Fluid Dynamics
24,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CSE/576.xml,Computational Chemical Biology
