,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/100.xml,Intro to Creative Writing
1,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/104.xml,Fiction Workshop I
2,106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/106.xml,Poetry Workshop I
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/199.xml,Undergraduate Open Seminar
4,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/200.xml,Reading for Writers
5,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/202.xml,Topics in Creative Writing
6,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/204.xml,Fiction Workshop II
7,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/206.xml,Poetry Workshop II
8,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/208.xml,Creative Nonfiction Workshop
9,243,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/243.xml,"The Craft Essay: Creative Reading, Reflection, and Revision"
10,404,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/404.xml,Fiction Workshop III
11,406,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/406.xml,Poetry Workshop III
12,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/455.xml,Creative Writing Tutorial
13,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/460.xml,Intro to Literary Editing
14,463,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/463.xml,Adv Topics in Creative Writing
15,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/504.xml,Writing Workshop in Fiction
16,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/506.xml,Writing Workshop in Poetry
17,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/560.xml,Literary Publishing &Promotion
18,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/591.xml,Independent Study
19,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CW/595.xml,Final Project
