,number,href,name
0,119,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/119.xml,Literature of Fantasy
1,122,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/122.xml,Russia and Black America
2,191,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/191.xml,Freshman Honors Tutorial
3,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/199.xml,Undergraduate Open Seminar
4,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/207.xml,Indian Cinema in Context
5,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/208.xml,Cultures & Literatures of South Asia
6,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/210.xml,Introduction to Modern African Literature
7,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/220.xml,Exploring the Greek and Roman World
8,230,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/230.xml,Popular Cultures of Contemporary East Asia
9,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/242.xml,Modern Masterpieces of Western Culture
10,249,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/249.xml,Russian Lit and Revolution
11,253,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/253.xml,Medieval Literature and Culture
12,254,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/254.xml,Grimm's Fairy Tales in Context
13,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/255.xml,Renaissance Literature and Culture
14,257,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/257.xml,Enlightenment Literature and Culture
15,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/259.xml,Early African American Literature and Culture
16,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/260.xml,Modern African American Literature and Culture
17,262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/262.xml,Gender & Sexuality in Greco-Roman Antiquity
18,263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/263.xml,Odysseus and Other Heroes
19,267,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/267.xml,The Short Story
20,275,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/275.xml,Masterpieces of East Asian Lit
21,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/312.xml,Japan Lit in Translation II
22,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/320.xml,Responses to the Holocaust
23,321,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/321.xml,Russian Writers
24,323,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/323.xml,Tolstoy
25,467,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/467.xml,Japanese Cinema
26,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/481.xml,Topics in Arabic Literature & Culture
27,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/493.xml,Senior Thesis and Honors
28,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/496.xml,Special Topics in Comp Lit II
29,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/502.xml,Methods of Comparative Lit
30,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/504.xml,Theories of Cinema
31,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/512.xml,Applied LiteraryTranslation II
32,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/562.xml,Sem Spanish-American Lit
33,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/571.xml,Seminar in Literary Relations
34,581,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/581.xml,Seminar Lit Themes
35,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/593.xml,Special Studies
36,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/CWL/599.xml,Thesis Research
