,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/100.xml,Intro to Contemporary Dance
1,116,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/116.xml,Dance I
2,131,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/131.xml,Production Practicum I
3,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/150.xml,The Green Room
4,160,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/160.xml,Dancing Techniques I
5,162,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/162.xml,Viewing Dance
6,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/200.xml,Explore Music through Dance
7,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/201.xml,Yoga Practicum
8,216,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/216.xml,Dance II
9,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/220.xml,Undergraduate Performance Practice
10,231,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/231.xml,Production Practicum II
11,232,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/232.xml,Repertory Company
12,245,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/245.xml,Mindful Movement
13,256,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/256.xml,Choreographic Laboratory I
14,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/260.xml,Dancing Techniques II
15,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/270.xml,Dancing in Community I & II
16,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/290.xml,Undergraduate Process Project
17,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/301.xml,Yoga Fundamentals
18,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/316.xml,Dancing Techniques Elective
19,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/330.xml,Dance Documentation
20,331,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/331.xml,Production Practicum III
21,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/340.xml,Dancing Black Popular Culture
22,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/350.xml,Teaching Dance
23,360,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/360.xml,Dancing Techniques III
24,362,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/362.xml,Choreographic Process II
25,375,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/375.xml,Thesis Think Tank
26,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/420.xml,Graduate Performance Practice
27,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/425.xml,Dance Internship
28,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/431.xml,Production Practicum IV
29,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/451.xml,Individual Study/Creative Investigations
30,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/455.xml,Supervised Teaching
31,456,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/456.xml,Choreographic Laboratory II
32,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/460.xml,Dancing Techniques IV
33,462,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/462.xml,Composition Workshop
34,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/465.xml,Screendance
35,470,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/470.xml,Dancing in Community III & IV
36,476,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/476.xml,The City Through the Body
37,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/490.xml,Graduate Process Project
38,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/495.xml,Senior Career Seminar
39,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/497.xml,BA Senior Thesis Symposium
40,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/498.xml,BFA Thesis Production
41,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/499.xml,BFA Thesis Project
42,516,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/516.xml,Dancing Techniques Graduate Elective
43,530,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/530.xml,Somatics in Dance Training
44,531,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/531.xml,MFA Prof Practice Seminar
45,542,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/542.xml,Contemporary Directions II
46,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/550.xml,Advanced Research in Dance
47,560,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/560.xml,Advanced Physical Practice
48,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/562.xml,Graduate Composition II
49,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC/598.xml,Creative Thesis Project
