,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/100.xml,Grainger Engineering Orientation Seminar
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/101.xml,Engineering at Illinois
2,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/111.xml,MEP Mentoring
3,177,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/177.xml,Engineering First-Year Experience Seminars
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/199.xml,Undergraduate Open Seminar
5,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/211.xml,Empowering Academic Success
6,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/298.xml,Special Topics
7,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/299.xml,Engineering Study Abroad
8,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/310.xml,Engineering Internship
9,377,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/377.xml,Pedagogy and Mentoring for Engineering Learning Assistants
10,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/398.xml,Special Topics
11,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/411.xml,Engineering Ambassadors Leadership Training
12,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/471.xml,Seminar Energy & Sustain Engrg
13,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/491.xml,Interdisciplinary Design Proj
14,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/498.xml,Special Topics
15,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/510.xml,Engineering Practice
16,571,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/571.xml,Theory Energy & Sustain Engrg
17,572,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/572.xml,Professional Practicum
18,573,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/573.xml,Capstone Project
19,580,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/580.xml,Teaching and Leadership skills for Graduate Engineering Students and Teaching Assistants
20,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/591.xml,Engineering Advanced Seminar
21,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG/598.xml,Special Topics
