,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/101.xml,Introduction to Energy Sources
1,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/210.xml,Environmental Economics
2,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/220.xml,Communicating Agriculture
3,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/299.xml,Ind Studies of Env. Topics
4,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/301.xml,Tools for Sustainability
5,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/310.xml,Natural Resource Economics
6,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/420.xml,Conservation Biology
7,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/491.xml,Sustainability Experience
8,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/510.xml,Adv Natural Resource Economics
9,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS/596.xml,Interdisciplinary Tox Sem
