,number,href,name
0,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/110.xml,English Pronunciation & Oral Fluency
1,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/111.xml,Intro to Academic Writing I
2,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/112.xml,Intro to Academic Writing II
3,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/115.xml,Principles of Academic Writing
4,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/504.xml,English Pronunciation for ITAs
5,506,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/506.xml,Oral Communication for ITAs
6,508,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/508.xml,Seminar for Intl TAs
7,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/510.xml,English Pronunciation & Oral Fluency
8,511,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/511.xml,Written and Oral Communication
9,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/512.xml,Introduction to Academic Writing
10,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/515.xml,Introduction to Academic Writing
11,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/521.xml,Written and Oral Business Communication
12,522,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/522.xml,Introduction to Business Writing
13,525,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/525.xml,Elements of Business Writing
14,535,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/535.xml,Introduction to Technical Writing
15,592,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/592.xml,Advanced Academic Writing
16,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL/593.xml,Academic Presentation Skills
