,number,href,name
0,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/110.xml,Exploring Arts and Creativity
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/199.xml,Undergraduate Open Seminar
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/201.xml,Black Arts Today
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/202.xml,Artsful Teaching through Integ
4,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/299.xml,FAA Study Abroad
5,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/330.xml,Making Sustainable Design
6,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/398.xml,Sustainable Design Internship
7,431,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/431.xml,Capstone Studio
8,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/490.xml,Minoritarian Aesthetics Independent Study
9,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/491.xml,Special Problems in Sustainable Design
10,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/495.xml,Minoritarian Aesthetics Practicum
11,497,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/497.xml,Crip* Research Internship
12,498,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/498.xml,Crip* Advanced Study
13,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/550.xml,Cripistemology and the Arts Seminar
14,553,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/553.xml,Cripping Art + Design
15,556,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/556.xml,Cripping Music
16,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA/597.xml,Crip* Graduate Directed Research
