,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/101.xml,Elementary French I
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/102.xml,Elementary French II
2,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/103.xml,Intermediate French I
3,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/104.xml,Intermediate French II
4,165,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/165.xml,French in US Minority Cultures
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/199.xml,Undergraduate Open Seminar
6,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/205.xml,French in Conversation
7,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/207.xml,Writing and Grammar Workshop
8,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/211.xml,Introduction to Literary Studies
9,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/212.xml,Introduction to Cultural Analysis: French Identities
10,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/301.xml,Medieval and Early Modern Literature
11,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/313.xml,Worldwide Spoken French
12,322,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/322.xml,Movements and Perspectives
13,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/390.xml,Indiv Study Major Tutorial
14,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/418.xml,Language & Minorities in Europe
15,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/460.xml,Principles of Language Testing
16,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/481.xml,Theoretical Foundations of SLA
17,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/492.xml,Senior Thesis
18,574,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/574.xml,Seminar 19thC French Lit
19,579,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/579.xml,Seminar in French Literature
20,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/588.xml,Sem Second Lang Learn
21,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/591.xml,Individual Topics
22,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR/599.xml,Thesis Research
