,number,href,name
0,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/104.xml,Geology of the National Parks
1,107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/107.xml,Physical Geology
2,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/111.xml,Emergence of Life
3,115,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/115.xml,Hollywood Rocks: Earth Science in the Movies
4,118,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/118.xml,Natural Disasters
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/199.xml,Undergraduate Open Seminar
6,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/208.xml,History of the Earth System
7,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/220.xml,"Leadership and Sustainability: People, Water, and the Colorado River"
8,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/333.xml,Earth Materials and the Env
9,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/370.xml,"Water Planet, Water Crisis"
10,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/390.xml,Individual Study
11,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/391.xml,Individual Honors Study
12,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/407.xml,Foundations of CyberGIS & Geospatial Data Science
13,415,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/415.xml,Field Geology
14,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/432.xml,Mineralogy and Mineral Optics
15,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/440.xml,Sedimentology and Stratigraphy
16,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/450.xml,Investigating the Earth’s Interior
17,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/451.xml,Environmental Geophysics
18,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/460.xml,Geochemistry
19,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/490.xml,Undergraduate Research
20,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/491.xml,Honors Undergraduate Research
21,492,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/492.xml,Senior Thesis
22,493,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/493.xml,Honors Senior Thesis
23,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/515.xml,Advanced Field Geology
24,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/517.xml,Data Science for the Geosciences
25,562,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/562.xml,Isotope Geology
26,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/591.xml,Current Research in Geoscience
27,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/593.xml,Advanced Studies in Geology
28,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/598.xml,Capstone Research Project
29,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL/599.xml,Thesis Research
