,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/101.xml,Beginning German I
1,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/102.xml,Beginning German II
2,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/103.xml,Intermediate German I
3,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/104.xml,Intermediate German II
4,191,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/191.xml,Freshman Honors Tutorial
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/199.xml,Undergraduate Open Seminar
6,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/201.xml,German Popular Culture
7,211,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/211.xml,Conversation and Writing I
8,212,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/212.xml,Conversation and Writing II
9,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/251.xml,Grimm's Fairy Tales in Context
10,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/299.xml,Study Abroad
11,331,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/331.xml,Intro to German Literature
12,401,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/401.xml,Global Issues in German
13,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/418.xml,Language & Minorities in Europe
14,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/420.xml,German Cultural History
15,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/460.xml,Principles of Language Testing
16,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/465.xml,German Linguistics
17,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/473.xml,1920s to Today
18,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/489.xml,Theoretical Foundations of SLA
19,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/491.xml,Honors Senior Thesis
20,512,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/512.xml,Applied LiteraryTranslation II
21,570,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/570.xml,Modern Critical Theory
22,575,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/575.xml,20thC German Studies
23,576,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/576.xml,Open Seminar in German Studies
24,588,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/588.xml,Sem Second Lang Learn
25,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/593.xml,Research in Special Topics
26,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER/599.xml,Thesis Research
