,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/100.xml,Introduction to Meteorology
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/101.xml,Global Development & Environment
2,106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/106.xml,Geographies of Globalization
3,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/204.xml,Cities of the World
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/210.xml,Social & Environmental Issues
5,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/220.xml,"Landscapes, Ecosystems and Environmental Change"
6,222,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/222.xml,Big Rivers of the World
7,224,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/224.xml,Environmental Data Science
8,254,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/254.xml,"People, Places, and Environments of the US"
9,280,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/280.xml,Intro to Social Statistics
10,287,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/287.xml,Environment and Society
11,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/350.xml,Sustainability and the City
12,370,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/370.xml,"Water Planet, Water Crisis"
13,379,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/379.xml,Introduction to Geographic Information Systems
14,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/380.xml,Geographic Information Systems II
15,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/390.xml,Independent Study
16,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/391.xml,Honors Independent Study
17,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/392.xml,Geography & GIS Internship
18,403,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/403.xml,Geographic Information Science and Systems
19,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/407.xml,Foundations of CyberGIS & Geospatial Data Science
20,459,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/459.xml,Ecohydraulics
21,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/466.xml,Environmental Policy
22,477,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/477.xml,Introduction to Remote Sensing
23,478,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/478.xml,Techniques of Remote Sensing
24,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/480.xml,Principles of Geographic Information Science
25,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/483.xml,Urban Geography
26,489,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/489.xml,Programming for GIS
27,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/491.xml,Research in Geography
28,517,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/517.xml,Geospatial Visualization & Visual Analytics
29,570,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/570.xml,Advanced Spatial Analysis
30,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/590.xml,Graduate Independent Study
31,593,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/593.xml,Geography & GIS Colloquium
32,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/595.xml,Graduate Seminar
33,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/598.xml,Graduate Capstone Project
34,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS/599.xml,Thesis Research
