,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/100.xml,Intro to Global Studies
1,118,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/118.xml,Natural Disasters
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/199.xml,Undergraduate Open Seminar
3,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/200.xml,Foundations of Research
4,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/225.xml,Career Development:Internships
5,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/240.xml,Global Health
6,250,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/250.xml,Development
7,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/251.xml,Warfare Milit Insts & Soc
8,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/260.xml,Global Human Rights
9,270,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/270.xml,Introduction to Global Markets and Society
10,296,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/296.xml,Global St Foundation Seminar
11,298,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/298.xml,Global Studies Seminar Abroad
12,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/340.xml,Global Health: Policy & Governance
13,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/392.xml,Int Diplomacy and Negotiation
14,450,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/450.xml,Poverty Interventions and Evaluation
15,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/480.xml,Energy and Security
16,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/483.xml,Seminar on Security
17,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/495.xml,Research Methods II
18,499,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/499.xml,Special Topics
19,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL/501.xml,Perspectives on Global Studies
