,number,href,name
0,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/101.xml,Introduction to Game Studies and Design
1,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/103.xml,The Basics of Game Design
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/199.xml,Individual Study
3,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/202.xml,Let’s Play: Understanding the Role of Play in Life and Art
4,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/204.xml,Gender in Gaming
5,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/390.xml,Special Topics in Game Studies & Design
6,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/399.xml,Advanced Individual Study
7,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/405.xml,Introduction to the Video Game Development Process
8,411,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/411.xml,Interactive Fiction with Twine
9,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/490.xml,Advanced Special Topics in Game Studies & Design
10,502,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/502.xml,Seminar in Game Studies
11,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GSD/597.xml,Independent Study in Game Studies & Design
