,number,href,name
0,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/102.xml,Academic Strategies
1,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/105.xml,Intro to Human Development
2,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/108.xml,Grief and Loss Across the Lifespan
3,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/120.xml,Intro to Family Studies
4,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/140.xml,Intro Gender & Women's Studies
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/199.xml,Undergraduate Open Seminar
6,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/202.xml,Pre-Employment Seminar
7,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/208.xml,"Child and Family Inclusion: Disability, Health, and Diversity"
8,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/220.xml,Families in Global Perspective
9,221,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/221.xml,Asian Families in America
10,225,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/225.xml,Close Relationships
11,255,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/255.xml,Autism Current Topics
12,263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/263.xml,"Diversity in Recreation, Sport, and Tourism"
13,290,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/290.xml,Intro to Research Methods
14,294,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/294.xml,Research Internship
15,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/295.xml,Independent Study or Research
16,301,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/301.xml,Infancy & Early Childhood
17,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/305.xml,Middle Childhood
18,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/310.xml,Adult Development
19,330,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/330.xml,Statistical Reasoning for Everyday Life
20,350,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/350.xml,Early Childhood Learning and Play
21,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/396.xml,Honors Research or Thesis
22,398,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/398.xml,Undergraduate Seminar
23,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/405.xml,Adolescent Development
24,408,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/408.xml,Hospitalized Children
25,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/420.xml,"Inequality, Public Policy, and U.S. Families"
26,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/424.xml,Racial and Ethnic Families
27,426,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/426.xml,Family Conflict Management
28,444,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/444.xml,"LGBT Indiv, Fam & Community"
29,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/445.xml,Substance Use and Family Health
30,455,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/455.xml,TAP Internship
31,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/460.xml,Black Families in Schools
32,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/505.xml,Advanced Adolescence
33,521,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/521.xml,Family Theories
34,523,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/523.xml,Ethnic Families
35,527,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/527.xml,Family Resiliency
36,539,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/539.xml,"Youth, Culture and Society"
37,550,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/550.xml,Advanced Practicum in HDFS
38,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/591.xml,Qualitative Methods
39,594,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/594.xml,Intermed Statistical Analysis
40,595,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/595.xml,Seminar
41,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/596.xml,Advanced Studies in HDFS
42,598,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/598.xml,Special Problems in HDFS
43,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HDFS/599.xml,Thesis Research
