,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/100.xml,Global History
1,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/104.xml,Black Music
2,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/105.xml,Latin America to Independence
3,120,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/120.xml,East Asian Civilizations
4,135,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/135.xml,History of Islamic Middle East
5,142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/142.xml,Modern Europe and the World
6,164,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/164.xml,The Automobile
7,168,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/168.xml,A History of Judaism
8,170,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/170.xml,US History to 1877-ACP
9,171,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/171.xml,US History to 1877
10,172,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/172.xml,US History Since 1877
11,173,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/173.xml,US History Since 1877-ACP
12,174,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/174.xml,"Black America, 1619-Present"
13,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/199.xml,Undergraduate Open Seminar
14,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/200.xml,Intro Hist Interpretation
15,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/202.xml,American Environmental History
16,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/203.xml,Reacting to the Past
17,209,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/209.xml,World War II: A Global History
18,219,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/219.xml,History of the Prison
19,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/220.xml,Traditional China
20,241,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/241.xml,History of Ancient Rome
21,251,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/251.xml,Warfare Milit Insts & Soc
22,253,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/253.xml,Enlightenment to Existentialsm
23,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/259.xml,20thC World from Midcentury
24,262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/262.xml,Zionism: A Global History
25,263,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/263.xml,History of Medicine in the United States
26,273,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/273.xml,Illinois History
27,276,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/276.xml,African American History Since 1877
28,278,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/278.xml,Native American History
29,279,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/279.xml,Mexican-American History
30,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/281.xml,Constructing Race in America
31,283,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/283.xml,Asian American History
32,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/300.xml,Topics in Film and History
33,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/312.xml,Immigrant America
34,317,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HIST/317.xml,Birth of US Empire
