,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/100.xml,Development Activities
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/101.xml,Dance Activities
2,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/102.xml,Individual and Dual Activities
3,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/103.xml,Indoor Court Activities
4,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/104.xml,Skating Activities
5,106,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/106.xml,Team Sport Activities
6,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/108.xml,Prescribed Exercise
7,109,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/109.xml,Stress Management
8,110,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/110.xml,Contemporary Health
9,111,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/111.xml,Introduction to Public Health
10,112,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/112.xml,Sexual Violence Prevention Theory and Practice
11,113,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/113.xml,Peer Education Facilitation and Harm Reduction Skills
12,125,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/125.xml,Orientation to Health & Kinesiology
13,140,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/140.xml,Social Sci of Human Movement
14,141,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/141.xml,Contemporary Issues in Sport
15,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/150.xml,Bioscience of Human Movement
16,154,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/154.xml,"Physical Activity, Nutrition, and Health"
17,171,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/171.xml,Survey of Interdisc Health
18,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/200.xml,Mental Health Issues
19,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/201.xml,Health Sciences Research Methods
20,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/202.xml,Health Careers & Professionalism
21,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/203.xml,Introduction to Health Technology
22,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/204.xml,Drug Use and Misuse
23,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/205.xml,Human Sexuality
24,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/206.xml,Health Care Systems
25,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/207.xml,Introduction to Epidemiology
26,208,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/208.xml,Introduction to Medical Ethics
27,209,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HK/209.xml,Introduction to Biostatistics and Health Data Analysis
