,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/100.xml,Introduction to Horticulture
1,105,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/105.xml,Vegetable Gardening
2,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/199.xml,Special Topics
3,223,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/223.xml,The Intelligent Behavior of Plants
4,341,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/341.xml,Greenhouse Mgmt and Production
5,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/361.xml,Small Fruit Production
6,393,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/393.xml,Horticulture Internship
7,395,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/395.xml,Undergrad Research or Thesis
8,396,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/396.xml,Ug Honors Research or Thesis
9,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/HORT/430.xml,Children and Nature
