,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/100.xml,Biology in Today's World
1,103,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/103.xml,Introduction to Plant Biology
2,108,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/108.xml,The Biology of Dinosaurs
3,150,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/150.xml,Organismal & Evolutionary Biol
4,151,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/151.xml,Organismal & Evol Biol Lab
5,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/199.xml,Undergraduate Open Seminar
6,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/202.xml,Physiology
7,271,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/271.xml,Organismal Biology
8,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/299.xml,Undergraduate Special Course
9,302,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/302.xml,Evolution
10,329,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/329.xml,Animal Behavior
11,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/361.xml,Ecology and Human Health
12,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/390.xml,Undergraduate Research Experience
13,392,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/392.xml,Translating Your IB Degree Into Career Success
14,405,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/405.xml,Evolution of Traits and Genomes
15,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/407.xml,Plant Diversity and Evolution
16,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/416.xml,Population Genetics
17,420,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/420.xml,Plant Physiology
18,432,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/432.xml,Genes and Behavior
19,435,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/435.xml,Critical Evaluation of Herbal Remedies
20,438,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/438.xml,How Organisms Move
21,442,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/442.xml,Evolution of Infectious Disease
22,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/451.xml,Conservation Biology
23,461,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/461.xml,Ornithology
24,464,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/464.xml,Herpetology
25,465,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/465.xml,Methods in Molecular Genetics and Genomics
26,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/490.xml,Independent Study
27,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/496.xml,Special Courses
28,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/504.xml,Genomic Analysis of Insects
29,505,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/505.xml,Bioinformatics & Systems Biol
30,513,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/513.xml,Plant Science Seminar
31,526,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/526.xml,Seminar in Entomology
32,532,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/532.xml,Sustainability & Global Change
33,533,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/533.xml,Human Genome & Bioinformatics
34,546,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IB/546.xml,Topics in Ecology & Evolution
