,number,href,name
0,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/102.xml,Little Bits to Big Ideas
1,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/199.xml,Undergraduate Open Seminar
2,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/202.xml,Social Aspects Info Tech
3,303,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/303.xml,Writing Across Media
4,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/310.xml,Computing in the Humanities
5,333,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/333.xml,User Experience Design In Action
6,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/390.xml,Special Topics
7,399,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/399.xml,Individual Study
8,407,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/407.xml,Introduction to Programming Python for Data Science
9,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/416.xml,Makerspace: Game Studies
10,418,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/418.xml,Makerspace: Escape Rooms
11,424,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/424.xml,Musical Informatics
12,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/490.xml,Special Topics
13,491,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/491.xml,Ugrad Bioinformatics Seminar
14,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/500.xml,Orientation Seminar
15,510,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/510.xml,Research Practicum
16,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/590.xml,Advanced Special Topics
17,591,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/591.xml,Grad Bioinformatics Seminar
18,597,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/597.xml,Individual Study
19,599,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/599.xml,Thesis Research
