,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/100.xml,Exploring the iSchool with a Human-Centered Lens
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/101.xml,Introduction to Information Sciences
2,107,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/107.xml,Data Science Discovery
3,142,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/142.xml,Social History of Games and Gaming
4,145,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/145.xml,Mapping Inequalities
5,189,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/189.xml,Independent Study
6,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/200.xml,Professional Skills in Information Science
7,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/202.xml,Social Aspects Info Tech
8,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/203.xml,Analytical Foundations for Information Problems
9,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/204.xml,Research Design for Information Sciences
10,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/205.xml,Programming for Information Problems
11,206,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/206.xml,Introduction to Database Concepts & Applications
12,226,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/226.xml,Introduction to HCI
13,234,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/234.xml,Introduction to Risk and Cybersecurity
14,236,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/236.xml,User Research & Evaluation
15,249,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/249.xml,BSIS Practicum
16,266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/266.xml,Community Innovation
17,269,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/269.xml,BSIS Internship
18,299,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/299.xml,Information Science Study Abroad
19,304,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/304.xml,Advanced Research Design
20,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/305.xml,Programming for Information Problems II
21,308,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/308.xml,"Race, Gender, and Information Technology"
22,309,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/309.xml,Computers and Culture
23,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/310.xml,Computing in the Humanities
24,312,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/312.xml,Reading and Writing Data
25,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/316.xml,The Design of Usable Information Interfaces
26,327,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/327.xml,Concepts of Machine Learning
27,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/340.xml,Project Management
28,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/IS/357.xml,Introduction to Data Storytelling
