,number,href,name
0,102,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/102.xml,Navigating Social Media
1,161,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/161.xml,Introduction to Sports Journalism
2,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/200.xml,Introduction to Journalism
3,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/205.xml,History of American Journalism
4,210,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/210.xml,Newsgathering Across Platforms
5,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/215.xml,Multimedia Reporting
6,220,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/220.xml,News Editing
7,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/310.xml,Media Law in Historical Context
8,313,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/313.xml,Writing for Television & Streaming News
9,317,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/317.xml,On-Camera Performance for UI7
10,340,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/340.xml,Video Reporting & Storytelling
11,400,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/400.xml,Newsroom Experience
12,417,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/417.xml,Producing for UI7 Programming
13,425,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/425.xml,Multimedia Editing and Design
14,430,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/430.xml,Augmented and Virtual Reality
15,440,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/440.xml,Advanced Documentary Storytelling & Production
16,445,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/445.xml,Advanced Television Reporting
17,451,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/451.xml,Research Methods in Journalism
18,452,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/452.xml,Great Books of Journalism
19,453,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/453.xml,Crisis Communications
20,454,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/454.xml,Propaganda & the News Media
21,460,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/460.xml,Special Topics
22,471,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/471.xml,Science Journalism
23,472,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/472.xml,Business Reporting
24,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/473.xml,Environmental Journalism
25,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/480.xml,Advanced Reporting Topics
26,482,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/482.xml,Immersion Journalism
27,483,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/483.xml,Investigative Journalism
28,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/490.xml,Professional Project
29,494,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/494.xml,Navigating the Job Market
30,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/495.xml,Internship Seminar
31,500,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/500.xml,Current Issues in Journalism
32,501,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/501.xml,Multimedia Storytelling
33,515,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/515.xml,Master's Project
34,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/JOUR/590.xml,Advanced Topics in Science and Technology Journalism
