,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/100.xml,Intro Latina/Latino Studies
1,200,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/200.xml,U.S. Race and Empire
2,201,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/201.xml,US Racial & Ethnic Politics
3,215,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/215.xml,US Citizenship Comparatively
4,235,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/235.xml,Race and the Politics of Reproduction
5,240,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/240.xml,Latina/o Popular Culture
6,242,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/242.xml,Intro to Latina/o Literature
7,248,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/248.xml,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers"
8,259,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/259.xml,Latina/o Anthropology
9,279,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/279.xml,Mexican-American History
10,281,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/281.xml,Constructing Race in America
11,296,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/296.xml,Topics Latina/o Studies
12,305,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/305.xml,"Theories of Race, Gender, and Sexuality"
13,308,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/308.xml,Spanish in the United States
14,310,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/310.xml,Race and Cultural Diversity
15,316,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/316.xml,Latina/Latino Politics
16,355,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/355.xml,Race and Mixed Race
17,357,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/357.xml,Literatures of the Displaced
18,372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/372.xml,"Immigration, Law, and Rights"
19,390,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/390.xml,Independent Study
20,416,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/416.xml,Latinx Feminisms
21,468,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/468.xml,Latinas/os & the Law
22,473,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/473.xml,"Immigration, Health & Society"
23,490,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/490.xml,Research and Writing Seminar
24,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/495.xml,Senior Honors Thesis
25,590,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/590.xml,Independent Study
26,596,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/LLS/596.xml,Graduate Seminar in LLS
