,number,href,name
0,100,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/100.xml,Intro to Popular TV & Movies
1,101,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/101.xml,Introduction to the Media
2,104,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/104.xml,Introduction to Film
3,117,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/117.xml,Shakespeare on Film
4,199,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/199.xml,Undergraduate Open Seminar
5,202,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/202.xml,Social Aspects Info Tech
6,203,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/203.xml,Contemporary Movies
7,204,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/204.xml,Gender in Gaming
8,205,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/205.xml,Introduction to Documentary
9,207,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/207.xml,Indian Cinema in Context
10,260,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/260.xml,Film Production
11,262,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/262.xml,Survey of World Cinema II
12,264,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/264.xml,Media Industries
13,266,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/266.xml,Community Innovation
14,273,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/273.xml,"American Cinema, 1950-2000"
15,282,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/282.xml,A World of Death and Blood: The Horror Movie
16,284,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/284.xml,Animated Media from Mickey to GIFs
17,295,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/295.xml,Intro Media/Cinema Topics
18,300,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/300.xml,Topics in Film and History
19,320,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/320.xml,Popular Culture
20,335,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/335.xml,"Film, TV, and Gender"
21,351,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/351.xml,Media Analysis
22,356,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/356.xml,Sex & Gender in Popular Media
23,361,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/361.xml,Film Theory
24,366,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/366.xml,Film Festivals
25,372,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/372.xml,Screenwriting
26,373,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/373.xml,Special Topics in Film Studies
27,380,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/380.xml,21st Century Documentaries
28,391,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/391.xml,Individual Study
29,466,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/466.xml,Japanese Cinema
30,480,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/480.xml,Advanced Filmmaking
31,481,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/481.xml,Advanced Filmmaking Studio
32,495,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/495.xml,Internship Seminar
33,496,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/496.xml,Advanced Media/Cinema Topics
34,504,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS/504.xml,Theories of Cinema
